City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
316,vilyuysk,92,RU,1525289484,96,63.75,121.63,40.71,2.59
317,manggar,8,ID,1525289486,100,-2.88,108.27,76.35,3.04
318,la libertad,0,PE,1525289486,31,-16.38,-71.56,56.46,3.6
319,parrita,8,CR,1525289486,93,9.52,-84.33,82.92,5.73
320,tongliao,0,CN,1525289487,42,43.61,122.27,46.47,11.43
321,sisimiut,68,GL,1525289487,85,66.94,-53.67,13.17,2.71
322,yalvac,0,TR,1525289487,92,38.3,31.18,47.91,2.26
323,nouakchott,0,MR,1525289487,87,18.08,-15.98,70.32,19.82
324,praia,0,BR,1525289219,38,-20.25,-43.81,77.93,7.65
325,mutoko,32,ZW,1525289488,68,-17.4,32.23,64.02,2.71
326,ahtopol,8,BG,1525289489,100,42.1,27.94,56.1,1.81
327,kajaani,92,FI,1525289490,96,64.22,27.73,33.6,6.73
328,rairangpur,92,IN,1525289490,97,22.27,86.18,71.85,3.71
329,hambantota,20,LK,1525289490,100,6.12,81.12,83.55,11.43
330,alta floresta,8,BR,1525289490,65,-9.87,-56.08,86.7,1.92
331,muisne,100,EC,1525289491,94,0.61,-80.02,77.88,6.73
332,lagoa,8,PT,1525289491,78,37.14,-8.45,53.85,5.17
333,champerico,64,MX,1525289491,85,16.38,-93.6,80.13,2.71
334,mahebourg,0,MU,1525289098,75,-20.41,57.7,76.04,13.02
335,thompson,32,CA,1525289079,51,55.74,-97.86,50.57,7.09
336,villacidro,88,IT,1525289492,99,39.46,8.74,53.49,4.61
337,vestmanna,44,FO,1525289492,100,62.16,-7.17,43.23,17.92
338,macapa,100,BR,1525289493,100,0.05,-51.07,77.07,5.61
339,batemans bay,0,AU,1525289494,100,-35.71,150.18,54.12,4.5
340,northam,12,GB,1525289494,95,51.04,-4.21,45.66,10.2
341,kodiak,32,US,1525289078,100,39.95,-94.76,74.15,8.99
342,port shepstone,24,ZA,1525289071,83,-30.74,30.45,73.16,12.8
343,wewak,88,PG,1525289495,100,-3.55,143.63,74.91,2.37
344,raudeberg,92,NO,1525289495,70,61.99,5.14,45.21,9.42
345,berlevag,32,NO,1525289495,98,70.86,29.09,33.87,6.51
346,malinovoye ozero,36,RU,1525289495,83,51.68,79.77,39.81,12.66
347,mutsu,92,JP,1525289496,91,41.29,141.2,54.12,17.25
348,cangzhou,100,CN,1525289321,46,38.3,116.85,61.46,11.68
349,portree,20,GB,1525289268,92,57.41,-6.19,45.53,19.39
350,karratha,36,AU,1525289496,51,-20.74,116.85,62.22,5.39
351,awbari,0,LY,1525289497,18,26.59,12.77,71.85,11.21
352,gryfino,48,PL,1525289497,63,53.25,14.49,57.54,8.3
353,antofagasta,0,CL,1525289071,77,-23.65,-70.4,72.62,4.18
354,toucheng,100,TW,1525289497,100,24.86,121.82,69.42,7.74
355,trapani,40,IT,1525283700,82,38.02,12.54,60.8,9.17
356,apan,12,MX,1525289498,44,19.71,-98.45,71.31,4.61
357,saint-augustin,92,FR,1525289498,96,44.83,-0.61,51.24,6.85
358,la sarre,88,CA,1525289498,88,48.8,-79.2,45.93,4.05
359,garowe,92,SO,1525289499,98,8.41,48.48,71.04,4.94
360,izumo,88,JP,1525289499,100,35.37,132.75,55.83,25.75
361,jiwani,0,PK,1525289499,62,25.05,61.74,81.57,5.17
362,corpus christi,0,US,1525289480,86,27.8,-97.4,77.97,18.81
363,san patricio,32,PY,1525289157,44,-26.98,-56.83,90.71,6.31
364,sur,0,OM,1525289500,76,22.57,59.53,86.61,6.62
365,cidreira,56,BR,1525289132,77,-30.17,-50.22,74.33,17.83
366,susangerd,76,IR,1525289501,43,31.56,48.19,78.42,4.83
367,coahuayana,20,MX,1525289501,31,18.62,-100.35,92.55,3.15
368,igrim,24,RU,1525289501,83,63.19,64.42,22.8,2.48
369,sibu,24,MY,1525289501,100,2.29,111.83,74.37,2.93
370,bilma,0,NE,1525289502,17,18.69,12.92,84.81,7.18
371,vinh,92,VN,1525289502,97,18.67,105.69,74.91,4.83
372,strezhevoy,56,RU,1525289502,84,60.73,77.6,24.51,9.42
373,alyangula,0,AU,1525289102,100,-13.85,136.42,80.54,8.66
374,naranjal,0,PY,1525289503,61,-25.97,-55.19,80.49,4.16
375,normandin,92,CA,1525289505,74,48.84,-72.53,57.09,5.39
376,padang,88,ID,1525289506,100,-0.92,100.36,82.02,3.04
377,nekhayevskiy,0,RU,1525289506,48,50.41,41.76,56.82,2.82
378,banda aceh,20,ID,1525289507,100,5.56,95.32,74.64,2.15
379,mlonggo,20,ID,1525289508,100,-6.53,110.7,76.89,4.05
380,rudnaya pristan,92,RU,1525289508,99,44.36,135.82,35.76,17.02
381,bowen,88,AU,1525289509,100,-20.01,148.25,76.44,14.79
382,panzhihua,92,CN,1525289146,84,26.59,101.72,60.92,0.38
383,marsa matruh,88,EG,1525289510,67,31.35,27.25,67.8,7.63
384,villa del rosario,36,CO,1525289511,57,7.83,-72.47,78.15,2.37
385,aswan,0,EG,1525289511,31,24.09,32.9,81.12,8.63
386,paciran,20,ID,1525289512,75,-6.9,112.33,71.76,2.82
387,zvishavane,0,ZW,1525289512,86,-20.32,30.05,49.89,2.71
388,san vicente,36,SV,1525289514,47,13.64,-88.78,91.29,3.27
389,lingao,24,CN,1525289514,100,19.91,109.69,73.74,2.71
390,saint-pierre,44,FR,1525289515,68,48.95,4.24,50.43,7.4
391,bathsheba,92,BB,1525289516,99,13.22,-59.52,79.86,18.25
392,hualmay,0,PE,1525289517,78,-11.1,-77.61,72.39,5.73
393,lata,92,IN,1525289517,100,30.78,78.62,48.09,1.7
394,nishihara,92,JP,1525289518,94,35.74,139.53,68.97,19.93
395,diffa,0,NE,1525289518,34,13.32,12.61,81.39,4.72
396,nizhnevartovsk,8,RU,1525289518,75,60.93,76.58,18.84,7.52
397,grindavik,56,IS,1525289518,100,63.84,-22.43,39.81,14.23
398,salalah,0,OM,1525289519,100,17.01,54.1,80.85,6.06
